Name,Department,Specialization,Profile Link
Dr  APASH ROY,STATISTICS AND DATA SCIENCE,Computer Science and Application,https://christuniversity.in/statistics_and _data_science/faculty-details/NzM4NA==/OTEy
Dr  ARJUN RAO I,LIFE SCIENCES,Anthropology,https://christuniversity.in/Life Sciences/faculty-details/NTk5MQ==/NjA=
Dr  AROKIA PAUL RAJAN R,COMPUTER SCIENCE,Computer Science and Engineering,https://christuniversity.in/Computer Science/faculty-details/MjQ1Ng==/NjI=
Dr  ARULPANDY P,MATHEMATICS (YESHWANTHPUR),Topology And Image Processing,https://christuniversity.in/Mathematics/faculty-details/NTk4Ng==/ODAy
Dr  ARUN K B,LIFE SCIENCES,"Colon cancer, Probiotics, Dietary Fibre",https://christuniversity.in/Life Sciences/faculty-details/NjEzNw==/NjA=
Dr  ARUN KUMAR N,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/NzE4/MzI=
Dr  ASHA ANAND,LIFE SCIENCES,Biotechnology,https://christuniversity.in/Life Sciences/faculty-details/NzM0Nw==/NjA=
Dr  ASHAQ HUSSAIN GANIE,DATA SCIENCE (Lavasa),Economics,https://christuniversity.in/Computer Science/faculty-details/NjI4Mg==/NjI=
Dr  ASHOK IMMANUEL V,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTYz/NjI=
Dr  ASHOKA K,MATHEMATICS,Graph Theory,https://christuniversity.in/Mathematics/faculty-details/NjUyOQ==/MzI=
Dr  ASHOKA N V,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/OTA=/MTg=
Dr  ASIF TARIQ,DATA SCIENCE (Lavasa),Economics,https://christuniversity.in/Computer Science/faculty-details/ODIzNQ==/NjI=
AVICHAL SHARMA,DATA SCIENCE (Lavasa),Economics,https://christuniversity.in/Computer Science/faculty-details/NjY4Ng==/NjI=
Dr  AVIJIT KUMAR DAS,CHEMISTRY,Organic Chemistry,https://christuniversity.in/Chemistry/faculty-details/NTM3MQ==/MTc=
AYANA SHAJI,DATA SCIENCE (Lavasa),Statistics,https://christuniversity.in/Computer Science/faculty-details/NjI2NA==/NjI=
Dr  AZARUDHEEN S,STATISTICS AND DATA SCIENCE,Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/Mjk5Nw==/OTEy
Dr  BABITHA,MATHEMATICS (YESHWANTHPUR),Fluid Mechanics,https://christuniversity.in/Mathematics/faculty-details/Njg4NA==/ODAy
Dr  BALAKRISHNAN C,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjI1Nw==/ODA0
Dr  BEAULAH SOUNDARABAI P,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTEx/NjI=
Dr  BENNY SEBASTIAN,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/ODg=/MTg=
Dr  BENNY THOMAS,COMPUTER SCIENCE (YESHWANTHPUR),Education,https://christuniversity.in/Computer Science/faculty-details/MzQz/ODA0
Dr  BHUVANA JAYABALAN,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/ODQzNA==/NjI=
BIJESH THOMAS,DATA SCIENCE (Lavasa),Data analytics,https://christuniversity.in/Computer Science/faculty-details/NzIxMA==/NjI=
Dr  BILJO V JOSEPH,LIFE SCIENCES,Biotechnology,https://christuniversity.in/Life Sciences/faculty-details/MTQxMg==/NjA=
Dr  BINCY CYRIAC,CHEMISTRY,Analytical Chemistry,https://christuniversity.in/Chemistry/faculty-details/NjM1OA==/MTc=
Dr  BLESSON MATHEW,PHYSICS AND ELECTRONICS,Astrophysics,https://christuniversity.in/Physics and Electronics/faculty-details/MjYxOQ==/MTg=
Dr  BUBBLY S G,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/Mjkw/MTg=
Dr  CECIL DONALD A,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTI2Mw==/NjI=
Dr  CHANDRA J,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTgz/NjI=
CHANDRASEKHARAN K A,PHYSICS AND ELECTRONICS,Physics (Electronics),https://christuniversity.in/Physics and Electronics/faculty-details/ODYx/MTg=
Dr  CHANTI S,COMPUTER SCIENCE,Information Security,https://christuniversity.in/Computer Science/faculty-details/ODQzMQ==/NjI=
Dr  CHARLES DOMINIC,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MjkxNw==/MzI=
Dr  CHETAN MALAGAVI,STATISTICS AND DATA SCIENCE,Statistical Quality Control,https://christuniversity.in/statistics_and _data_science/faculty-details/ODQ5Mw==/OTEy
CYNTHIA C,COMPUTER SCIENCE,Machine Learning,https://christuniversity.in/Computer Science/faculty-details/ODY2NQ==/NjI=
Dr  CYNTHIA T,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjgzOQ==/NjI=
Dr  DALVIN VINOTH KUMAR A,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/NTg2Nw==/OTEy
Dr  DAVID CHRIS RAJU,STATISTICS AND DATA SCIENCE,Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/NjgzNg==/OTEy
Dr  DEBABRATA SAMANTA,COMPUTER SCIENCE,SAR Image Processing,https://christuniversity.in/Computer Science/faculty-details/MzIwNQ==/NjI=
Dr  DEEPA M,PHYSICS AND ELECTRONICS,Materials Science,https://christuniversity.in/Physics and Electronics/faculty-details/NjM0NA==/MTg=
Dr  DEEPA S,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjE5MA==/ODA0
Dr  DEEPA V JOSE,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTc4/NjI=
Dr  DEEPTHI DAS,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/Mzgx/OTEy
Dr  DEPHAN PINHEIRO,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/MTI1/MTc=
Dr  DHANEESH K V,LIFE SCIENCES,Marine Biology and Oceanography,https://christuniversity.in/Life Sciences/faculty-details/NjkzMQ==/NjA=
Dr  DIBU A S,STATISTICS AND DATA SCIENCE,Applied Probability and Insurer's Risk,https://christuniversity.in/statistics_and _data_science/faculty-details/NTE2Nw==/OTEy
Dr  DITTO ABRAHAM THADATHIL,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/ODUzMw==/MTc=
Dr  ELLUMKALAYIL MERLIN THOMAS,MATHEMATICS (YESHWANTHPUR),Mathematics,https://christuniversity.in/Mathematics/faculty-details/NjM5NA==/ODAy
Dr  FABIOLA HAZEL POHRMEN,COMPUTER SCIENCE,Information Technology,https://christuniversity.in/Computer Science/faculty-details/NjgzOA==/NjI=
Dr  GAYATHRY S WARRIER,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science and Engineering,https://christuniversity.in/Computer Science/faculty-details/Njg3MA==/ODA0
Dr  GEORGE THOMAS C,PHYSICS AND ELECTRONICS,Super Conductivity,https://christuniversity.in/Physics and Electronics/faculty-details/Njc=/MTg=
Dr  GOBI R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/Mjc0MQ==/NjI=
Dr  GOBINATH R,COMPUTER SCIENCE (YESHWANTHPUR),Data Mining ( Computer Science),https://christuniversity.in/Computer Science/faculty-details/NTkzMQ==/ODA0
Dr  GUNAVATHI R,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NDk4Mw==/NjI=
Dr  GURUMURTHY HEGDE,CHEMISTRY,Photoinduced Effects on Liquid Crystals,https://christuniversity.in/Chemistry/faculty-details/NTQxNA==/MTc=
Dr  HARI BHASKAR R,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MTA2/MzI=
Dr  HELEN K JOY,COMPUTER SCIENCE,Electronics and Communication Engineering,https://christuniversity.in/Computer Science/faculty-details/NjgzNQ==/NjI=
Dr  HEMANTH K S,COMPUTER SCIENCE (YESHWANTHPUR),Data Mining and Knowledge Discovery,https://christuniversity.in/Computer Science/faculty-details/ODU1Ng==/ODA0
Dr  HEMLATA JOSHI,STATISTICS AND DATA SCIENCE,Mathematical Demography,https://christuniversity.in/statistics_and _data_science/faculty-details/NDMxMw==/OTEy
Dr  HEPZIBA MAGIE JESSIMA S J,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/MzEz/MTc=
Dr  HUBERT SHANTHAN,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NzA3Mw==/NjI=
Dr  IMRAN JAFRI R,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/Mjg5OA==/MTg=
Dr  JAMES JOSEPH,MATHEMATICS,Graph Theory,https://christuniversity.in/Mathematics/faculty-details/ODUzNw==/MzI=
Dr  JAYADURGA R,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NzEyMw==/ODA0
Dr  JAYAPRIYA J,COMPUTER SCIENCE (YESHWANTHPUR),Computer Applications,https://christuniversity.in/Computer Science/faculty-details/NjI3NA==/ODA0
Dr  JEEVANAND E S,STATISTICS AND DATA SCIENCE,Bayesian Inference in Exponential and Pareto Popul,https://christuniversity.in/statistics_and _data_science/faculty-details/ODQxNg==/OTEy
Dr  JIBRAEL JOS,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTE5Mw==/NjI=
Dr  JIJU GILLARIOSE,STATISTICS AND DATA SCIENCE,Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/NTMyMg==/OTEy
JINNY ANN JOHN,MATHEMATICS,NUMERICAL ANALYSIS,https://christuniversity.in/Mathematics/faculty-details/ODU0Mg==/MzI=
Dr  JISHA MARY THOMAS,CHEMISTRY,ORGANOMETALLICS,https://christuniversity.in/Chemistry/faculty-details/ODQwNA==/MTc=
Dr  JITHESH V,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/NjA4OQ==/MTg=
Dr  JOBI XAVIER,LIFE SCIENCES,Botany,https://christuniversity.in/Life Sciences/faculty-details/MTIxMg==/NjA=
Dr  JOBIN FRANCIS,COMPUTER SCIENCE,Signal Processing,https://christuniversity.in/Computer Science/faculty-details/ODQyMw==/NjI=
Dr  JOEL JOSE,LIFE SCIENCES,Botany,https://christuniversity.in/Life Sciences/faculty-details/NjgxNw==/NjA=
Dr  JOHAN KOK,MATHEMATICS,Applied Mathematics,https://christuniversity.in/Mathematics/faculty-details/NDM4Mg==/MzI=
Dr  JOHN KASPAR A,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/NjgzNA==/MzI=
Dr  JOHNY JOSEPH,LIFE SCIENCES,Botany,https://christuniversity.in/Life Sciences/faculty-details/Mjg2/NjA=
Dr  JOSEPH K S,LIFE SCIENCES,Botany,https://christuniversity.in/Life Sciences/faculty-details/Mjg0MQ==/NjA=
Dr  JOSEPH T V,MATHEMATICS,Fluid Mechanics,https://christuniversity.in/Mathematics/faculty-details/NzQ=/MzI=
Dr  JOSEPH VARGHESE,MATHEMATICS,Decompositions in Graphs,https://christuniversity.in/Mathematics/faculty-details/MTY2/MzI=
Dr  JOY PAULOSE,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/Mjg0/NjI=
Dr  JOYDEEP BAGCHI,PHYSICS AND ELECTRONICS,Astrophysics,https://christuniversity.in/Physics and Electronics/faculty-details/NDg0Nw==/MTg=
Dr  JULIET ROZARIO,COMPUTER SCIENCE (YESHWANTHPUR),DATA MINING,https://christuniversity.in/Computer Science/faculty-details/ODQ0NA==/ODA0
JUSTIN P VARGHESE,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NDM3NQ==/NjI=
KALAIVANI S,STATISTICS AND DATA SCIENCE,Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/ODMzNg==/OTEy
KALEESWARI J,COMPUTER SCIENCE,Csc,https://christuniversity.in/Computer Science/faculty-details/ODI3Mw==/NjI=
Dr  KALPANA P,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTkyNg==/ODA0
Dr  KANNAN M,COMPUTER SCIENCE (YESHWANTHPUR),Machine Learning,https://christuniversity.in/Computer Science/faculty-details/ODUxNw==/ODA0
Dr  KAVITHA R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MzEx/NjI=
Dr  KAVITHA S,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/ODUyMQ==/ODA0
Dr  KENATH ARUN,PHYSICS AND ELECTRONICS,Astrophysics,https://christuniversity.in/Physics and Electronics/faculty-details/NTE0MQ==/MTg=
Dr  KIRUBANAND V B,COMPUTER SCIENCE,Computer Applications,https://christuniversity.in/Computer Science/faculty-details/MjIxMw==/NjI=
Dr  KOKILAVANI T,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/Njg0NA==/ODA0
