Name,Department,Specialization,Profile Link
Dr  NIDHIN M,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/Mjc1Ng==/MTc=
Dr  NIMITHA JOHN,STATISTICS AND DATA SCIENCE,Models for Co Integrating Time Series,https://christuniversity.in/statistics_and _data_science/faculty-details/Mjk1OQ==/OTEy
Dr  NISHA VARGHESE,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjgyNQ==/NjI=
Dr  NISMON RIO R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MzIxNQ==/NjI=
Dr  NIZAR BANU P K,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MjQ1Nw==/NjI=
Dr  PAARI K A,LIFE SCIENCES,Biotechnology,https://christuniversity.in/Life Sciences/faculty-details/MjQ4Ng==/NjA=
Dr  PARADESI TABITHA RAJASHEKAR,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MjE4Ng==/MzI=
Dr  PARTHA KUMBHAKAR,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/NjYxOQ==/MTg=
Dr  PETER AUGUSTIN D,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTUw/NjI=
Dr  PRABU P,COMPUTER SCIENCE,Agile Methodologies,https://christuniversity.in/Computer Science/faculty-details/MjIyMQ==/NjI=
Dr  PRADEEP G SIDDHESHWAR,MATHEMATICS,Fluid Mechanics,https://christuniversity.in/Mathematics/faculty-details/NDY3OA==/MzI=
Dr  PRAMILA R M,DATA SCIENCE (Lavasa),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NDc0MQ==/NjI=
Dr  PRANESH S,MATHEMATICS,Fluid Mechanics,https://christuniversity.in/Mathematics/faculty-details/ODY=/MzI=
Dr  PRASAD PRALHAD PUJAR,CHEMISTRY,Chemistry Of Indian medical plants,https://christuniversity.in/Chemistry/faculty-details/MTM3NQ==/MTc=
Dr  PRAVALIKHA G B,LIFE SCIENCES,ZOOLOGY,https://christuniversity.in/Life Sciences/faculty-details/ODUzOA==/NjA=
Dr  PRAVEEN N,LIFE SCIENCES,Botany,https://christuniversity.in/Life Sciences/faculty-details/MTY2MA==/NjA=
